id,crime_type,date,time,location,incident_description,vehicle_description,age,eye_color,hair_color,height,race,sex,weight,additional_description,weapon,email_from,email_subject,message_id
105,Robbery,2023-05-09,1:44 p.m.,"Near Nature's Brew located at 2316 S. Union Ave., Los Angeles, CA 90007","A female USC student was walking on Union Avenue, talking on her cellphone, when a man snatched the student's cell phone out of her right hand. The man then fled on foot going north on Hoover Street.",N/A,N/A,N/A,N/A,5 feet 10 inches,Black,Male,140 pounds,Wearing a black hoodie and black sweatpants.,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,18802f19240d299c
106,Robbery,2023-05-02,10:30 p.m.,Pedestrian crosswalk at Portland Street and West Adams Boulevard,A USC student was walking home when a man began to follow the student. The man told the student to give him his watch. The student refused and continued to walk home. The man disengaged and walked in a different direction than the student down West Adams Boulevard.,N/A,N/A,N/A,N/A,N/A,Black,Male,N/A,"Wearing a face mask, black sweatshirt, red sweatpants or shorts, and carrying a black backpack.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,187e07f0e1feff45
107,Rape,2023-04-29,11:00 a.m.,Apartments located on the 2600 block of Portland Street,"The suspect contacted a female USC student this morning and asked her if he could come over to her apartment. The student was acquainted with the suspect and agreed to have him over. Once in the student's apartment, the suspect sexually assaulted her.",N/A,36,Brown,Brown,6 feet 2 inches,Black,Male,240 pounds,"Wearing dark framed glasses, a gray sweat shirt and gray sweat pants, and black shoes. Had his hair styled in corn rows.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Rape,187d0e0b4dfeffc4
108,N/A,2023-04-28,8:30 p.m.,"In front of CVS Pharmacy, located at 3335 Figueroa Street",Department of Public Safety received a report today about a sexual battery incident which occurred last night. A female USC student was walking out of CVS Pharmacy when she was approached by a man asking for her name and phone number. The student told the man she did not want to provide him with that information and tried to leave the location. The man touched the student's intimate areas and showed her a video of an explicit sexual act. The man then grabbed the student's phone and used it to call his phone so he could retrieve her number. The student then left the location in an Uber.,N/A,N/A,Brown,Brown,5 feet 10 inches,Black,Male,170,"Wearing dark framed glasses, a gray sweat shirt and gray sweat pants, and black shoes. Had his hair styled in corn rows.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Sexual Battery/Fondling,187d011631c82a0c
109,Aggravated Assault,2023-04-25,7:45 p.m.,On the corner of Jefferson Boulevard and Hoover Street,"A USC student was waiting to cross the street at Jefferson Boulevard and Hoover Street. A suspect, driving through the intersection, shot the student with a paintball pellet.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Paintball gun,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Aggravated Assault,187bc1ae6da38704
110,Aggravated Assault,2023-04-21,9:29 p.m.,On San Pablo Street north of Trojan Way at HSC,"A student was trying to find a parking spot on San Pablo Street when he noticed a man with a handgun. After the student drove past the man, he turned around and saw the man pointing the handgun at him.",N/A,40,N/A,Black,5 feet 3 inches,Hispanic,Male,140-150 pounds,Wearing a white tank top and grey sweatpants.,Blue steel handgun,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Aggravated Assault,187a7b6138f6baac
111,Robbery,2023-04-20,5:26 p.m.,Northwest corner of West Jefferson Boulevard and Figueroa Street,"A suspect tried to steal a bicycle using bolt cutters to cut the bicycle's lock. The owner of the bicycle interrupted the attempted theft and a brief struggle ensued. During the struggle, the suspect attempted to hit the owner of the bicycle with the bolt cutters. The suspect stopped the struggle, left the bike, and fled eastbound on West Jefferson Boulevard.",N/A,13,N/A,N/A,N/A,Hispanic,Male,N/A,"Wearing grey shirt, blue jeans, blue hat, and black backpack.",Bolt cutters,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,187a1ae0627d7582
112,Robbery,2023-04-17,4:50 p.m.,33rd Street and Grand Avenue,"A female student was walking southbound on Grand Avenue. A man road his bike behind the student. As the man passed the student, he slapped her head with an open hand and grabbed her headphones off of her head. The man fled eastbound on 33rd Street. No injuries were reported.",Black bicycle,25,N/A,N/A,N/A,Black,Male,N/A,Wearing a blue hoodie and black pants.,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,1879289af8c27672
113,Aggravated Assault,2023-04-03,12:20 a.m.,Valley Boulevard east of San Pablo Street South sidewalk,"Two male suspects fired handguns in the area of Valley Boulevard and San Pablo Street near several parked motor homes. The suspects, and a third male, ran to a nearby vehicle and drove away southbound on San Pablo Street. Department of Public Safety and Los Angeles Police Department officers responded and located a victim who had been shot in the leg. The victim is not affiliated with USC.",Red Toyota 4-door sedan,N/A,N/A,N/A,N/A,Hispanic,Male,N/A,Described as wearing a blue hoody and blue Levi's,Handgun,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Aggravated Assault,18747bb2d68506f4
114,Robbery,2023-03-29,N/A,On the sidewalk at Jefferson Boulevard & Hoover Street,"A male non-USC community member, working at a COVID testing tent on the public sidewalk at Jefferson Boulevard and Hoover Street, was approached by a woman. The woman grabbed the man's backpack and a short struggle ensued. The man was able to recover his backpack. The woman was last seen getting on a bus that left eastbound on Jefferson Boulevard.",N/A,N/A,N/A,Brown,N/A,N/A,Female,N/A,"Red hat, black pants, and black leather jacket.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,1872f6e51bd38593
115,Robbery,2023-03-24,4:33 p.m.,"In front of Bovard Administration Building located at 3551 Trousdale Parkway, Los Angeles, CA 90089",A man approached a student walking in front of the Bovard Administration Building and grabbed the student's baseball cap. A struggle ensued and the student retrieved his baseball cap. The man then left the area.,N/A,20,N/A,Unkown,N/A,Black,Male,160 pounds,Wearing grey hoodie.,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,1871655239bd523d
116,Other,2023-03-23,N/A,"1500 San Pablo Street, Keck Hospital-outside Gold Lobby","The victim was smoking a cigarette in a designated smoking area outside of Keck Hospital. The suspect and two children walked past him. After walking past him, the suspect walked back to the victim and said ""If you blow smoke at my kids again, I'll shoot you."" The suspect lifted his sweater and displayed a handgun in his waistband. The suspect then walked away.","2018 Honda Clarity, gray, license plate 8BXU761 CA",45,N/A,Black,N/A,Hispanic,Male,180 pounds,The suspect was wearing a gray sweater and blue jeans. He was accompanied by two children.,Handgun,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Other,187114c7a91d3459
117,Aggravated Assault,2023-03-21,3:20 p.m.,"Jefferson Boulevard and Hoover Street, east crosswalk","The victim, a student, was riding his bike in the east crosswalk of Jefferson Boulevard and Hoover Street. The suspect was crossing from the opposite direction and threw a rock striking the victim in his face. The student was treated and released at the scene for his injury.",N/A,50,N/A,N/A,N/A,White,Male,N/A,Suspect was wearing a black shirt and blue jeans.,Rock,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Aggravated Assault,18706b57135c1d04
118,Robbery,2023-03-19,6:32 p.m.,3131 Hoover Street-Target Express,The suspect simulated a firearm and demanded property from a clerk in the Electronics section at Target Express. The clerk complied with the suspect's demand and gave him the property. The suspect left the store with the property. He was later seen on video surveillance cameras driving from the area in the described vehicle.,"Honda Civic, gray, CA license plate 8RXB123",40,N/A,N/A,N/A,Black,Male,200 pounds,"Wearing beanie, green reflective construction vest, tan pants, black shoes.",Not seen-simulated firearm,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,186fd26deffa419f
119,Rape,2023-02-28,5:00 a.m.,"Keck Hospital, 1500 San Pablo Street, Los Angeles CA",An employee of a company providing services to Keck Hospital was sexually assaulted by a coworker from that same company with whom she had a passing acquaintance. The Los Angeles Police Department has been notified and is investigating the incident. We are taking all possible steps to ban the individual from our property but given our open access areas we are issuing this warning so that all members of our community can exercise extra caution when at the Health Sciences Campus,N/A,24,Brown,Brown,N/A,Hispanic,Male,190 pounds,N/A,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Rape,186ecd0624f06248
120,N/A,2023-02-27,9:20 p.m.,614 Hellman Way-campus walkway west of Pardee Tower,"The victim, a USC student, was walking on a campus walkway on the west side of Pardee Tower. The suspect rode up from behind her on a scooter and slapped her buttocks as he passed her.",Push scooter-black,15,N/A,N/A,N/A,N/A,Male,N/A,"Suspect described as having a slim build, wearing a green beanie and a black jacket.",No weapon,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Sexual Battery/Fondling,1869890cdde45c78
121,Robbery,2023-02-26,7:00 p.m.,2703 Figueroa Street,"The victim, not affiliated with USC, was at the automated teller at the Bank of America. He was approached by two suspects. Suspect one displayed a handgun and demanded the victim's wallet. The suspects pushed the victim to the ground and forcibly took his wallet. The suspects left the location in a green Ford Explorer, CA license plate 8JQD830. It was last seen westbound on Jefferson Boulevard from Figueroa Street.","Green Ford Explorer, CA license plate 8JQD830.",N/A,N/A,N/A,5 feet 8 inches,Black,Male,N/A,"Described as thin, wearing black clothing.",Semi-automatic handgun,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,186914a9fbc2e54b
122,Robbery,2023-02-14,N/A,"Pardee Way Entrance, University Park Campus","The victim, a security guard, had set her property down near where she was standing. She saw the suspect approach her property and pick up her backpack. She grabbed the backpack and, after struggling with the suspect, was able to retake it. The suspect fled on a black bicycle. He was last seen northbound Figueroa Street from Exposition Boulevard.",N/A,N/A,N/A,N/A,N/A,Black,Male,N/A,"The suspect was wearing a blue beanie, worn over a hat, a blue shirt with a collar and blue jeans. He was riding a black bicycle, possibly a mountain bike.",No weapon,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,186524606e9d17e6
123,N/A,2023-02-01,1:15 p.m.,Adjacent to the Galen Center on the east sidewalk of Figueroa Street south of Jefferson Boulevard,"As the victim, who is not affiliated with the university, was walking, she was struck on the buttocks with an open hand by the suspect as he rode by her on a scooter. The suspect was last seen in the area of Figueroa and Exposition Boulevard.",Black scooter,N/A,N/A,Black,N/A,N/A,Male,N/A,Suspect was described as wearing a grey long-sleeved shirt and black pants.,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Sexual Battery/Fondling,1860f699f68543eb
124,N/A,2023-01-21,N/A,"3100 block of Hoover Street, inside store","The victim, a female student, was inside a store at the Village. As she was reaching down to select a grocery item, the suspect approached her from behind and rubbed his groin against her buttocks. The suspect then said ""Can I help you with that?"" He then walked away.",N/A,N/A,N/A,N/A,N/A,N/A,Male,N/A,"Suspect was wearing a ski mask with eye holes, a black jacket, black pants and black shoes",No weapon involved,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Sexual Battery/Fondling,185d6ce06ecb9052
125,Robbery,2023-01-19,N/A,7000 block Royal Street-parking lot,"The two victims, including a female USC student, were sitting inside a car parked in a parking lot across from Troy Hall. They were approached by two suspects on foot. One suspect pointed a handgun at the victims and ordered them to exit the car. Once the victims were out of the car, the suspects took the car keys from one of the victims. The suspects then got into the car and drove away. A short time after the crime, the car was found abandoned at 30th Street and Grand Ave.",2008 Toyota Prius Silver 8SSX232 CA (recovered),20,N/A,N/A,N/A,Hispanic,Male,N/A,"Slim build, dark jacket.",Silver handgun,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,185ca1880c4f963c
126,Aggravated Assault,2022-11-27,N/A,Jefferson Boulevard east of Figueroa Street-south sidewalk,"The victim, a male staff member, and a group of eight bicyclists were involved in a traffic dispute. The victim stopped on Jefferson Bl., east of Figueroa Street. The bicyclists surrounded the victim's car and began to vandalize it. The victim exited his car and began fighting with two of the bicyclists. At one point, the victim fell to the ground and the entire group began to kick him. The victim was able to get up, and the bicyclists rode away.",N/A,15,N/A,Blonde,N/A,White,Male,N/A,"Long hair, green hooded sweatshirt, blue jeans, black shoes, white fixie bicycle.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Aggravated Assault,184bc3f21c1f82ba
127,Robbery,2022-11-18,N/A,2800 block of Figueroa Street,"The victim, a USC student, was inside a fast food restaurant ordering food. While waiting for his food, a group of male juveniles made several racially charged comments to him. The victim responded and one of the juveniles punched him in the face. As the victim left the restaurant, a second juvenile grabbed his phone out of his hand. The victim asked for his phone and the juveniles knocked him to the ground and began kicking him. The juveniles then left the area on bicycles.",N/A,14,N/A,N/A,N/A,Hispanic,Male,N/A,"Shaved head, one shaved eyebrow, gold earrings, black t-shirt with writing on front, baggy black pants, red Nike Air Force One shoes with white laces. Left area on bicycle.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,18491d4ee30fe0a7
128,Burglary,2022-11-17,N/A,1100 block of West 37th Place,The victims woke up this morning and discovered their residence had been entered and property taken. It appears that the suspect(s) gained entry by cutting a window screen and forcing the window open.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Burglary,18487a43537f3758
129,Robbery,2022-11-06,N/A,2900 block of Figueroa Street,"The victim, a student, was walking on the east sidewalk of Figueroa Street. The suspect, who was riding a bicycle, approached the victim from the rear and snatched her phone out of her hand. The suspect rode away northbound on Figueroa Street.",N/A,16,N/A,N/A,N/A,Hispanic,Male,N/A,The suspect was wearing a white t-shirt and a dark beanie. He was riding a black bicycle. He was amongst a group of approximately ten teenagers riding bikes.,No weapon,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,184507f35bc85f8d
130,Attempted Robbery,2022-11-06,N/A,"Vermont Avenue and West 36th Place, south crosswalk","The victim, a student, was crossing Vermont Ave., westbound at 36th Place. The suspect rode up from behind her on a scooter and attempted to grab her cell phone. The suspect was unsuccessful and rode away westbound on 36th Place.",Lime green electric scooter.,20,N/A,N/A,N/A,Black,Male,150 pounds,"Slender build, wearing a black gaiter face covering, a black hoodie, dark gray pants and riding a lime green electric scooter.",No weapon,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,1844fde7a434443b
131,N/A,2022-10-31,N/A,"South sidewalk of Jefferson Boulevard east of Vermont Avenue, near the Jefferson Boulevard Parking Structure","Female student was walking on the sidewalk when the suspect, on a skateboard, slapped her buttock as he skated past her.",N/A,N/A,Dark,Black,N/A,N/A,Male,N/A,"Short black hair, dark gray hooded sweatshirt, dark gray pants, light gray backpack. Riding a skateboard.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Sexual Battery/Fondling,184307c8a625939e
132,Burglary,2022-10-30,N/A,700 block West 28th Street,Suspect entered student occupied residence and stole electric bike from living room. Suspect seen leaving with bike (on video).,N/A,18,N/A,Black,N/A,Hispanic,Male,N/A,"Curly hair, black sweatshirt with ""Thrasher"" in yellow letters on front, black pants.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Burglary,1842bc8a2ad988b3
133,Robbery,2022-10-26,6:35 p.m.,Sidewalk in front of the Gateway Apartments at 3335 S. Figueroa Street,"As a student was standing on the sidewalk in front of her apartment complex looking down at her phone, the suspect rode by on an electric scooter and snatched the phone from her hand. The suspect was last seen riding away north on Figueroa Street.",Electric scooter,30,N/A,N/A,N/A,Black,Male,N/A,Described by the victim as tall and thin and wearing a black hooded sweatshirt and blue jeans.,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,1841a3c4721604db
134,Burglary,2022-10-25,N/A,1501 San Pablo Street,Employees arriving for work at the Zilkha Neurogenetic Institute this morning discovered a laboratory area had been entered and desks had been ransacked. There were no signs of forced entry.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Burglary,18414a8600a1c5c1
135,Robbery,2022-10-23,N/A,"Jefferson Boulevard at Watt Way, south sidewalk","The victim, a USC student, was walking on the sidewalk at Jefferson Boulevard and Watt Way. The suspect, riding a bicycle, rode past her and snatched her cell phone out of her hand. The suspect rode away westbound on Jefferson Boulevard.",N/A,15,N/A,Black,N/A,Black,Male,N/A,"Slim build, light hoodie with ""Champions"" written on front, black shorts.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,184081ce4b52c6ec
136,N/A,2022-10-18,N/A,"Exposition Boulevard and Watt Way, northeast corner","Two female USC students were waiting for a ride service at Exposition Bl. and Watt Way. As they were waiting, there was a group of approximately ten juveniles loitering on the northeast corner. When their ride arrived, the victims had to make their way past the juveniles to get to their ride. As they walked past the juveniles, the first victim was groped by one suspect. The second victim had her phone taken from her back pocket by a second suspect. The suspect threw the phone to the ground and the victim recovered it. The victims then got into their ride and left the area.",N/A,10,Black,Brown,N/A,Black,Male,120 pounds,"White T-shirt, dark shorts. Riding a bicycle.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Sexual Battery/Fondling,183ef3bd532aaa35
137,Attempted Robbery,2022-10-13,N/A,"East sidewalk of Ellendale Place, north of 29th Street.","The victim, a student, was standing on the sidewalk when the suspect, who was on a bicycle, approached him. The suspect told the victim to ""Empty your pockets!"". The victim said ""No"". The suspect rode away northbound on Ellendale without making any further attempt to take the victim’s property.",N/A,40,N/A,N/A,5 feet 10 inches,Black,Male,N/A,"Thin build, facial hair, dark red USC sweatshirt, pants",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,183d4eea7fab8063
138,Battery,2022-10-06,N/A,Ronald Tutor Campus Center,"The victim, a student, reported that as she walked in the area by the Ronald Tutor Campus Center, the suspect grabbed her arm and made several sexually provocative comments to her. He then let go of her arm, and she walked away.",N/A,20,Brown,Brown,5 feet 9 inches,Black,Male,170 pounds,"Bushy hair, moustache,",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Other,183b06b55f9ce4b1
139,Other,2022-09-24,N/A,1000 block West 30th Street,"A man posing as a USC student, known as “Koa,” has been engaging USC students in social situations both in person and through the Instagram account ""Yosu8083."" DPS has received multiple reports that the suspect has engaged in harassing and threatening behavior toward students.",Brown Honda sedan,26,Brown,Brown,5 feet 10 inches,Biracial,Male,160,N/A,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Other,183b03cfaa06ea88
140,Robbery,2022-10-02,N/A,"1000 block, West 30th Street","The victim, a USC student, received a food delivery from a food delivery service. A dispute occurred during the delivery and the suspect, a delivery driver, told the student that he was going to take his phone. The suspect forcibly took the phone from the student's hand. During the ensuing struggle, the victim recovered his phone, however he was punched several times by the suspect.","Gray Toyota Prius Hatchback, paper license plate BR55A76",N/A,N/A,Black,N/A,Black,Male,Thin,"Hair worn in cornrows, long sleeve blue shirt with ""Stussy"" written on it",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,1839b7e3daad3120
141,Robbery,2022-09-30,4:00 p.m.,Off campus at the southwest corner of Jefferson Blvd and Vermont Avenue.,"A male student was boarding a Metro Bus in the area of the southwest corner of Jefferson Blvd and Vermont Avenue. A male suspect simultaneously exited the bus, grabbed the victim's cell phone from his hand and demanded money in exchange for the phone. In fear, the victim gave the suspect all of his money. The suspect returned the phone to the victim and ran westbound on Jefferson Blvd and continued northbound on Catalina St. until out of view.",N/A,30,N/A,N/A,6 feet 2 inches,Black,Male,N/A,Wearing a light blue shirt. NFD,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,18390f920a03b6f8
142,Burglary,2022-09-29,N/A,1300 block West 30th Street,"The victims, USC students, woke up this morning and found that three bicycles and three video game consoles had been taken from their living room. They determined that the suspect(s) had entered the residence by opening an unlocked window.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Burglary,1838b3d8b282ffcf
143,Robbery,2022-09-23,N/A,"32nd Street and Hoover Street, near parking garage","The victim, a student, was walking southbound on Hoover Street when he was confronted by the suspect. The suspect grabbed the victim's cell phone. As they wrestled over the phone, the suspect punched the victim in the mouth. The suspect was then able to take the phone.",N/A,N/A,N/A,N/A,N/A,Black,Male,Slender,"Orange flannel shirt, blue jeans",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,1836c708aa508756
144,Aggravated Assault,2022-09-15,N/A,Jefferson Blvd. and Hoover Street-south sidewalk,"A group of students was standing on the south sidewalk of Jefferson Blvd. and Hoover Street. The suspect vehicle was traveling eastbound on Jefferson Blvd. As the vehicle approached the students, it stopped and a suspect inside the vehicle fired an airsoft BB rifle at the group of students. One student was hit in the arm. A second student was hit in the face. The vehicle continued eastbound on Jefferson Blvd.",Black BMW SUV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Aggravated Assault,183452867c9929c8
145,Robbery,2022-09-14,N/A,Jefferson Blvd. and Royal Street-southwest corner,"The victim, a student, was standing on the corner of Jefferson Blvd and Royal Street. The suspect rode past the victim on an electric scooter. As he passed her, he grabbed her cellphone out of her hand. The suspect continued westbound on Jefferson Blvd. The suspect was accompanied by four other males who were also on scooters.",N/A,17,N/A,N/A,N/A,Hispanic,Male,140,The suspect had curly hair. He was wearing a red shirt and black pants. He also had a designer backpack.,No weapon,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,1833f1575e3c9452
146,Robbery,2022-09-14,N/A,Figueroa Street and 31st Street-east sidewalk,"The suspect exited a vehicle, walked up from behind the victim, a student, and demanded property. The victim gave the suspect her cell phone. The suspect then returned to the waiting vehicle and fled.",Small black sedan,40,N/A,N/A,N/A,Hispanic,Male,N/A,Wearing a black hoodie,No weapon,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Robbery,1833bd18f401ef12
147,Aggravated Assault,2022-09-09,N/A,"Hoover Street south of 30th Street, west sidewalk","The suspect, who was on a skateboard, skated past the victim, a student. He then turned around and as he skated past the victim a second time, he threw an unknown liquid on the victim. He then skated away southbound on Hoover Street.",N/A,N/A,N/A,N/A,N/A,White,Male,N/A,The suspect was wearing a green hoodie with a black surgical mask. He threw the liquid from a purple cup.,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Aggravated Assault,1832609ee604104c
149,N/A,2022-08-30,N/A,"Jefferson Blvd. and Figueroa Street, northwest corner","At 8:00 P.M., at the northwest corner of Jefferson Blvd. and Figueroa Street, a suspect attempted to engage the victim, a female student, in conversation. When the victim turned and began walking away, the suspect grabbed her buttock. The victim continued walking and left the area.",N/A,N/A,N/A,N/A,N/A,Black-light complexion,Male,N/A,"Black USC baseball hat, gray t-shirt, black Vans' shoes, carrying a blue sports bag",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Sexual Battery/Fondling,182f24ba6343bcf1
150,Aggravated Assault,2022-08-28,N/A,Valley Blvd near San Pablo Street,"A shooting occurred on Valley Blvd. near San Pablo, near the Health Sciences campus. The suspect exited a trailer which was parked at that location, turned and fired five to six shots into the trailer with a handgun. A male occupant of the trailer was struck by the gunfire.",Dark colored van,N/A,N/A,N/A,N/A,Black,Male,N/A,Suspect covered his head with a white piece of clothing.,Handgun,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Aggravated Assault,182e7cc0fcd38874
151,Burglary,2022-08-28,N/A,2600 block of Portland Street,Two suspects gained access to an apartment complex in the 2600 block of Portland Street. Surveillance video shows the two suspects cutting the locks off a bicycle and an electric scooter that were in hallway bicycle racks on the first floor. The suspects left the apartment and were last seen riding the bicycle and the scooter northbound on Portland Street. The crime wasn't discovered until 7:18 A.M.,N/A,25,N/A,Black,N/A,Hispanic,Male,N/A,"Black hooded sweatshirt with white letters. On back it reads ""Come over when you're sober"".",No weapon,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Burglary,182e5aa22b77b0ac
152,Burglary,2022-08-26,10:30 pm,"2617 Menlo Ave. Los Angeles CA, 90007","The suspect(s) entered the rear of the residence by cutting the screen to the back door window, and unlocking the rear door. The suspect(s) took three electric scooters and fled. The victims (students) were home at the time of occurrence, but unaware of the crime until morning.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Burglary,182e1ccbacf6c9c5
153,Robbery,2022-08-22,4:00 p.m.,Adjacent to campus at the southeast corner of McClintock Avenue and Jefferson Boulevard,"The suspect, riding a skateboard, rode past a faculty member walking in the crosswalk and attempted to wrestle away her purse. The suspect was unsuccessful and was last seen riding away south on McClintock. The faculty member was not injured.",N/A,20,N/A,unknown,N/A,White,Male,N/A,"Wearing a white T-shirt, jeans, black Converse tennis shoes.",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,182c8202fd7a6051
154,N/A,2022-08-21,N/A,2300 block of Portland Street,"A student, who was asleep in bed, was awakened by a knock on her bedroom door. She opened the door and let the suspect in without identifying him. Shortly thereafter the male suspect entered the bedroom and began fondling the victim. The victim told the suspect to leave, and he complied. The suspect then went to another bedroom which was occupied by a male student, took some property and left.",N/A,25,unknown,unknown,N/A,Hispanic,Male,unknown,"Black long sleeve shirt, dark pants",N/A,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Crime Alert - Sexual Battery/Fondling,182c17427dd24629
155,Robbery,2022-08-17,N/A,600 block West 28th Street-South Alley,"The victim, a USC student, was walking in the south alley of 28th Street when he was approached by the suspect. The suspect asked the victim a question and they had a brief conversation. The suspect then grabbed the victim's sunglasses and pulled them off the victim. The victim argued with the suspect and demanded his sunglasses back. The suspect kept the sunglasses and walked away. The suspect was last seen walking eastbound on the south sidewalk of 3oth Street approaching Figueroa Street.",N/A,30,unknown,black,N/A,Black,Male,180,"Maroon sweater, blue jeans",No weapon used,USC Department of Public Safety <uscpublicsafety@msg.adm.usc.edu>,Timely Warning Crime Alert - Robbery,182adb0036465455
